year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	FR	BE	FR-BE	90062	7.8674227911e-06	4.61469642918e-05	479.838395907	1	1	46.565,2.55	50.643,4.664	0.893	0.897	60990544	10398049
1990	FR	DE	FR-DE	89386	1.20618095646e-05	8.90060788181e-06	735.656326972	1	0	46.565,2.55	51.11,9.851	0.893	0.92	60990544	82652369
1990	FR	BJ	FR-BJ	506	6.57508590438e-05	0.000472324910689	4010.18066155	0	1	46.565,2.55	10.541,2.469	0.893	0.436	60990544	8490301
1990	FR	HN	FR-HN	109	0.000144006268373	0.0128517402375	8783.02064745	0	0	46.565,2.55	14.819,-86.863	0.893	0.632	60990544	683411
1990	FR	BR	FR-BR	8096	0.000138329998631	4.51575635253e-05	8436.82186802	0	0	46.565,2.55	-10.772,-53.089	0.893	0.73	60990544	186830759
1990	FR	CR	FR-CR	539	0.000146708287017	0.00206779449442	8947.81823449	0	0	46.565,2.55	9.971,-83.946	0.893	0.773	60990544	4327228
1990	FR	UY	FR-UY	865	0.000173895346085	0.00318906866282	10605.9717568	0	0	46.565,2.55	-32.8,-56.012	0.893	0.792	60990544	3325727
1990	FR	LC	FR-LC	31	0.000112860572873	0.426905714196	6883.4277357	0	0	46.565,2.55	13.898,-60.969	0.893	0.725	60990544	16124
1990	FR	NI	FR-NI	107	0.000144315725517	0.00161131931635	8801.89460703	0	0	46.565,2.55	12.84,-85.034	0.893	0.599	60990544	5462539
1990	FR	NL	FR-NL	13168	1.06101297609e-05	0.00039633137696	647.117586028	1	0	46.565,2.55	52.077,5.389	0.893	0.921	60990544	1632769
1990	FR	CM	FR-CM	11808	7.71642795559e-05	0.000264470468187	4706.29138748	0	1	46.565,2.55	5.133,12.277	0.893	0.495	60990544	17795149
1990	FR	PT	FR-PT	58432	1.80844026453e-05	0.000104763856252	1102.97755525	1	0	46.565,2.55	40.309,-8.058	0.893	0.816	60990544	10528226
1990	FR	NO	FR-NO	2461	2.7415647988e-05	0.00036045578781	1672.0952849	0	0	46.565,2.55	61.152,8.74	0.893	0.955	60990544	4638836
1990	FR	BS	FR-BS	38	0.000120653290787	0.0227615949535	7358.70984048	0	0	46.565,2.55	24.628,-78.014	0.893	0.794	60990544	323295
1990	FR	PA	FR-PA	256	0.000144996916954	0.00273663480429	8843.44084332	0	0	46.565,2.55	8.384,-80.92	0.893	0.78	60990544	3231502
1990	FR	LR	FR-LR	252	7.52771102543e-05	0.00133395236242	4591.19190516	0	0	46.565,2.55	6.682,-9.657	0.893	0.388	60990544	3441796
1990	FR	CU	FR-CU	328	0.00012448234562	0.000674272649529	7592.24597779	0	0	46.565,2.55	21.297,-77.781	0.893	0.78	60990544	11259905
1990	FR	TG	FR-TG	4262	6.89683453248e-05	0.000674259574169	4206.41690014	0	1	46.565,2.55	8.799,1.081	0.893	0.459	60990544	6238572
1990	FR	IS	FR-IS	135	3.92315108704e-05	0.00809094446976	2392.75118993	0	0	46.565,2.55	64.764,-18.48	0.893	0.906	60990544	295732
1990	FR	GW	FR-GW	71	6.8221010616e-05	0.00260552382085	4160.8365497	0	0	46.565,2.55	12.125,-14.651	0.893	0.364	60990544	1596929
1990	FR	GT	FR-GT	294	0.00014778481231	0.000709188458212	9013.47609771	0	0	46.565,2.55	15.256,-90.398	0.893	0.581	60990544	12709564
1990	FR	CO	FR-CO	1905	0.000141105823641	0.00191477799043	8606.12094543	0	0	46.565,2.55	3.9,-73.076	0.893	0.719	60990544	4494579
1990	FR	VE	FR-VE	4664	0.000128242893511	0.000292663653623	7821.60383935	0	0	46.565,2.55	7.125,-66.166	0.893	0.748	60990544	26725573
