year	source	target	sourceTarget	value	valueSource	valueTarget	distance	sameCurrency	sameLanguage	sourceGeo	targetGeo	sourceHDI	targetHDI	sourcePopulation	targetPopulation
1990	DE	FR	DE-FR	171594	8.90060788181e-06	1.20618095646e-05	735.656326972	1	0	51.11,9.851	46.565,2.55	0.882	0.86	82652369	60990544
1990	DE	HT	DE-HT	896	9.47354717802e-05	0.000842283354832	7830.11117097	0	0	51.11,9.851	19.142,-72.278	0.882	0.425375	82652369	9296291
1990	DE	BR	DE-BR	25679	0.000110757756999	4.89983076134e-05	9154.39100112	0	0	51.11,9.851	-10.772,-53.089	0.882	0.683	82652369	186830759
1990	DE	NL	DE-NL	128907	3.95324472401e-06	0.000200117127209	326.745041676	1	0	51.11,9.851	52.077,5.389	0.882	0.894272727273	82652369	1632769
1990	DE	PT	DE-PT	16069	2.21503427582e-05	0.000173892382547	1830.77830313	1	0	51.11,9.851	40.309,-8.058	0.882	0.783181818182	82652369	10528226
1990	DE	CU	DE-CU	752	9.71467219352e-05	0.000713097198292	8029.40670853	0	0	51.11,9.851	21.297,-77.781	0.882	0.740818181818	82652369	11259905
1990	DE	CO	DE-CO	2679	0.000111149963976	0.00204397516138	9186.80783685	0	0	51.11,9.851	3.9,-73.076	0.882	0.677	82652369	4494579
1990	DE	VE	DE-VE	4895	0.000101949674916	0.000315292852675	8426.38215055	0	0	51.11,9.851	7.125,-66.166	0.882	0.704727272727	82652369	26725573
1990	DE	CA	DE-CA	179998	7.99206688924e-05	0.000204695656502	6605.63261602	0	0	51.11,9.851	59.081,-109.433	0.882	0.895090909091	82652369	32270507
1990	DE	ZA	DE-ZA	14308	0.000111118372354	0.000191582245722	9184.19671447	0	0	51.11,9.851	-30.558,23.121	0.882	0.612363636364	82652369	47938663
1990	DE	AR	DE-AR	15674	0.000146212695444	0.000311889423611	12084.8256563	0	0	51.11,9.851	-35.377,-65.167	0.882	0.771545454545	82652369	38747148
1990	DE	GB	DE-GB	217030	9.80720250201e-06	1.34549050306e-05	810.588520054	0	0	51.11,9.851	53,-1.6	0.882	0.848636363636	82652369	60244834
1990	DE	ES	DE-ES	81569	1.93362601291e-05	3.68267305423e-05	1598.18770727	1	0	51.11,9.851	40.227,-3.649	0.882	0.847454545455	82652369	43397491
1990	DE	US	DE-US	819357	9.41762724155e-05	2.59595938011e-05	7783.89201873	0	0	51.11,9.851	39.622,-98.606	0.882	0.915818181818	82652369	299846449
1990	DE	MX	DE-MX	5329	0.000113682766329	9.01167650607e-05	9396.14995159	0	0	51.11,9.851	23.951,-102.535	0.882	0.734181818182	82652369	104266392
1990	JM	DO	JM-DO	421	0.000261708672828	7.41346337497e-05	702.025401891	0	0	18.151,-77.32	19.015,-70.729	0.697545454545	0.659636363636	2682469	9469601
1990	JM	FR	JM-FR	463	0.00290719809082	0.000127863571039	7798.46875548	0	0	18.151,-77.32	46.565,2.55	0.697545454545	0.86	2682469	60990544
1990	JM	DE	JM-DE	701	0.0030801104694	9.99644771312e-05	8262.30085074	0	0	18.151,-77.32	51.11,9.851	0.697545454545	0.882	2682469	82652369
1990	JM	BR	JM-BR	24	0.00155747906028	2.23618922265e-05	4177.88929735	0	0	18.151,-77.32	-10.772,-53.089	0.697545454545	0.683	2682469	186830759
1990	JM	NL	JM-NL	395	0.00296076690288	0.00486423090664	7942.1654332	0	0	18.151,-77.32	52.077,5.389	0.697545454545	0.894272727273	2682469	1632769
1990	JM	PT	JM-PT	8	0.00260342017083	0.000663321047841	6983.59390223	0	0	18.151,-77.32	40.309,-8.058	0.697545454545	0.783181818182	2682469	10528226
1990	JM	CO	JM-CO	96	0.000616008618463	0.000367648231961	1652.42402276	0	0	18.151,-77.32	3.9,-73.076	0.697545454545	0.677	2682469	4494579
1990	JM	VE	JM-VE	220	0.000642348019668	6.44730292582e-05	1723.07864997	0	0	18.151,-77.32	7.125,-66.166	0.697545454545	0.704727272727	2682469	26725573
1990	JM	CA	JM-CA	102133	0.00195431548561	0.000162451451611	5242.39070636	0	1	18.151,-77.32	59.081,-109.433	0.697545454545	0.895090909091	2682469	32270507
1990	JM	ZA	JM-ZA	106	0.00447601385917	0.000250461061478	12006.7684208	0	1	18.151,-77.32	-30.558,23.121	0.697545454545	0.612363636364	2682469	47938663
1990	JM	AR	JM-AR	27	0.00227229470743	0.000157311193886	6095.36011155	0	0	18.151,-77.32	-35.377,-65.167	0.697545454545	0.771545454545	2682469	38747148
1990	JM	GB	JM-GB	143472	0.00278270072103	0.000123902879713	7464.50842043	0	1	18.151,-77.32	53,-1.6	0.697545454545	0.848636363636	2682469	60244834
